Year,App.,Family,Taxon,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2007,II,Cercopithecidae,Macaca fascicularis,CA,US,CN,1015,1015,live,,M,C
2002,II,Cercopithecidae,Macaca fascicularis,CA,US,VN,740,740,live,,M,C
2001,II,Cercopithecidae,Macaca fascicularis,CA,US,MU,325,325,live,,M,W
2004,II,Cercopithecidae,Macaca fascicularis,CA,US,CN,108,108,live,,T,F
2000,II,Cercopithecidae,Macaca fascicularis,CA,US,VN,69,69,live,,T,F
2008,II,Cercopithecidae,Macaca fascicularis,CA,US,MV,54,54,live,,M,C
2001,II,Cercopithecidae,Macaca fascicularis,CA,GB,MU,49,49,live,,M,F
2005,II,Cercopithecidae,Macaca fascicularis,CN,VN,LA,2000,2000,live,,T,W
2004,II,Cercopithecidae,Macaca fascicularis,CN,VN,LA,1400,1400,live,,T,C
2006,II,Cercopithecidae,Macaca fascicularis,CN,KH,,12710,12710,live,,T,C
2008,II,Cercopithecidae,Macaca fascicularis,FR,US,MU,100,100,live,,M,C
2007,II,Cercopithecidae,Macaca fascicularis,JP,CN,,5952,5952,live,,T,C
2007,II,Cercopithecidae,Macaca fascicularis,NL,CH,MU,84,84,live,,T,F
2005,II,Cercopithecidae,Macaca fascicularis,US,CA,ID,106,106,live,,M,F
2008,II,Cercopithecidae,Macaca fascicularis,US,CN,,17214,17214,live,,T,C
2007,II,Cercopithecidae,Macaca fascicularis,US,CN,,16010,16010,live,,T,C
2006,II,Cercopithecidae,Macaca fascicularis,NL,CN,,1920,1920,live,,T,C
2006,II,Cercopithecidae,Macaca fascicularis,US,ID,,1407,1407,live,,T,F
2008,II,Cercopithecidae,Macaca fascicularis,CA,US,ZA,28,28,live,,T,C
