Year,App.,Family,Taxon,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2003,I,Elephantidae,Loxodonta africana,AE,NG,,2,,ivory carvings,,P,I
2003,I,Elephantidae,Loxodonta africana,AE,SD,,5,,ivory carvings,,P,I
2003,I,Elephantidae,Loxodonta africana,AE,SD,,1,,tusks,,P,I
2003,I,Elephantidae,Loxodonta africana,AT,BG,MZ,,1,tusks,,P,O
2003,I,Elephantidae,Loxodonta africana,AT,CH,TZ,4,,tusks,,P,O
2003,I,Elephantidae,Loxodonta africana,AT,EG,XX,16,,ivory carvings,,E,O
2003,I,Elephantidae,Loxodonta africana,AT,EG,XX,,16,ivory carvings,,S,O
2003,I,Elephantidae,Loxodonta africana,AT,JP,XX,13,,ivory carvings,,E,O
2003,I,Elephantidae,Loxodonta africana,AT,JP,XX,,21,ivory carvings,,Q,O
2003,I,Elephantidae,Loxodonta africana,AT,JP,XX,,7,ivory carvings,,T,O
2003,I,Elephantidae,Loxodonta africana,AT,JP,XX,1,,ivory pieces,,T,O
2003,I,Elephantidae,Loxodonta africana,AT,TZ,,2,6,tusks,,H,W
2003,I,Elephantidae,Loxodonta africana,AT,US,XX,,1,ivory carvings,sets,P,O
2003,I,Elephantidae,Loxodonta africana,AT,US,XX,1,,ivory carvings,,E,O
2003,I,Elephantidae,Loxodonta africana,AT,US,XX,,13,ivory carvings,,Q,O
2003,I,Elephantidae,Loxodonta africana,AU,CA,CD,,2,ivory carvings,,P,O
2003,I,Elephantidae,Loxodonta africana,AU,DE,XX,,1,ivory carvings,sets,P,O
2003,I,Elephantidae,Loxodonta africana,AU,DK,XX,,1,ivory carvings,,P,O
2003,I,Elephantidae,Loxodonta africana,AU,FR,XX,,6,ivory carvings,,P,O
2003,I,Elephantidae,Loxodonta africana,AU,GB,XX,,203,ivory carvings,,P,O
2003,I,Elephantidae,Loxodonta africana,AU,GB,XX,,96,ivory carvings,,P,U
2003,I,Elephantidae,Loxodonta africana,AU,GB,XX,,6,ivory carvings,,T,O
2003,I,Elephantidae,Loxodonta africana,AU,IM,XX,,16,ivory carvings,,P,C
2003,I,Elephantidae,Loxodonta africana,AU,IM,XX,,1,ivory carvings,,P,O
2003,I,Elephantidae,Loxodonta africana,AU,NZ,XX,,61,ivory carvings,,P,W
2003,I,Elephantidae,Loxodonta africana,AU,NZ,XX,,2,ivory carvings,,T,W
2003,I,Elephantidae,Loxodonta africana,AU,NZ,XX,,19,ivory pieces,,P,W
2003,I,Elephantidae,Loxodonta africana,AU,NZ,XX,,1,tusks,,P,W
2003,I,Elephantidae,Loxodonta africana,AU,US,XX,,2,ivory carvings,sets,T,O
2003,I,Elephantidae,Loxodonta africana,AU,US,XX,,1,ivory carvings,,T,O
2003,I,Elephantidae,Loxodonta africana,AU,ZA,XX,,1,ivory carvings,,P,O
2003,I,Elephantidae,Loxodonta africana,AU,ZA,ZM,,1,ivory carvings,,P,O
2003,I,Elephantidae,Loxodonta africana,AU,ZA,ZM,,3,tusks,,P,O
2003,I,Elephantidae,Loxodonta africana,BE,TZ,,,2,tusks,,H,W
2003,I,Elephantidae,Loxodonta africana,BE,US,XX,,1,ivory carvings,,T,O
2003,I,Elephantidae,Loxodonta africana,BH,FR,XX,,2,ivory carvings,,P,O
2003,I,Elephantidae,Loxodonta africana,BM,US,XX,,3,ivory carvings,,T,O
2003,I,Elephantidae,Loxodonta africana,BR,DE,XX,,34,ivory carvings,,Q,O
2003,I,Elephantidae,Loxodonta africana,BR,FR,XX,,4,ivory carvings,,Q,O
2003,I,Elephantidae,Loxodonta africana,BR,PT,XX,,1,ivory carvings,,E,O
2003,I,Elephantidae,Loxodonta africana,CA,AR,XX,6,,ivory carvings,,T,O
2003,I,Elephantidae,Loxodonta africana,CA,AR,,,13,ivory carvings,,T,O
2003,I,Elephantidae,Loxodonta africana,CA,CH,XX,,1,ivory carvings,,,O
2003,I,Elephantidae,Loxodonta africana,CA,DE,BW,,2,tusks,,P,O
2003,I,Elephantidae,Loxodonta africana,CA,DE,XX,,1,ivory carvings,sets,T,O
2003,I,Elephantidae,Loxodonta africana,CA,DE,XX,3,,ivory carvings,,P,O
2003,I,Elephantidae,Loxodonta africana,CA,DE,XX,1,,ivory carvings,,T,O
2003,I,Elephantidae,Loxodonta africana,CA,DE,ZM,1,,ivory carvings,,P,O
2003,I,Elephantidae,Loxodonta africana,CA,DE,ZM,,1,tusks,,P,O
