from,default-currency_for_amounts,total_commitments,total_disbursements,total_reimbursements,total_expenditure,start-planned_iso-date,start-planned,Start-actual-year,start-actual,end-planned_iso-date,end-planned,end-actual_iso-date,end-actual,implementing-organisations,recipient-country_codes,recipient-countries,activity-status,collaboration-type,default-aid-type
GB,GBP,20000000,0,0,20000000,2004-09-01,2004-09-01,2004,2004-09-01,2009-08-31,2009-08-31,2009-08-31,2009-08-31,Other.,BD,Bangladesh,Post-completion,Bilateral,Sector budget support
GB,GBP,971909,0,0,230200,2004-09-01,2004-09-01,2004,2004-09-01,2009-08-31,2009-08-31,2009-08-31,2009-08-31,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,197469,0,0,197469,2004-09-01,2004-09-01,2004,2004-09-01,2009-08-31,2009-08-31,2009-08-31,2009-08-31,"University, college or other teaching institution, research institute or think-tank",BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,245042,0,0,245042,2004-09-01,2004-09-01,2004,2004-09-01,2009-08-31,2009-08-31,2009-08-31,2009-08-31,"University, college or other teaching institution, research institute or think-tank",BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,65478,0,0,65478,2003-07-01,2003-07-01,2003,2003-07-01,2010-09-01,2010-09-01,2010-09-01,2010-09-01,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,1300000,0,0,1300000,2003-07-01,2003-07-01,2003,2003-07-01,2010-09-01,2010-09-01,2010-09-01,2010-09-01,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,32000000,0,0,32000000,2003-07-01,2003-07-01,2003,2003-07-01,2010-09-01,2010-09-01,2010-09-01,2010-09-01,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,1573187,173187,0,1400000,2003-07-01,2003-07-01,2003,2003-07-01,2010-09-01,2010-09-01,2010-09-01,2010-09-01,Third Country Government (Delegated co-operation),BD,Bangladesh,Post-completion,Bilateral,Basket funds/pooled funding
GB,GBP,4100000,0,0,4100000,2003-07-01,2003-07-01,2003,2003-07-01,2010-09-01,2010-09-01,2010-09-01,2010-09-01,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,57700000,0,0,57700000,2006-01-01,2006-01-01,2006,2006-01-01,2010-06-30,2010-06-30,2010-06-30,2010-06-30,International Bank for Reconstruction and Development,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,400553,0,0,334578,2006-01-01,2006-01-01,2006,2006-01-01,2011-06-30,2011-06-30,2011-06-30,2011-06-30,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,491362,129000,0,362362,2006-01-01,2006-01-01,2006,2006-01-01,2010-06-30,2010-06-30,2010-06-30,2010-06-30,World Health Organisation - core voluntary contributions account,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,123176,0,0,123175,2006-01-01,2006-01-01,2006,2006-01-01,2010-06-30,2010-06-30,2010-06-30,2010-06-30,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,5300000,2300000,0,3000000,2006-01-01,2006-01-01,2006,2006-01-01,2010-06-30,2010-06-30,2010-06-30,2010-06-30,International Bank for Reconstruction and Development,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,2057689,0,0,1891899,2005-02-01,2005-02-01,2005,2005-02-01,2015-05-30,2015-05-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,38565691,21330000,0,11200000,2005-02-01,2005-02-01,2005,2005-02-01,2015-05-30,2015-05-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,3924398,0,0,3593193,2005-02-01,2005-02-01,2005,2005-02-01,2015-05-30,2015-05-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,420230,0,0,420230,2005-02-01,2005-02-01,2005,2005-02-01,2013-12-01,2013-12-01,2013-12-01,2013-12-01,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,161989,0,0,161987,2012-03-01,2012-03-01,2012,2012-03-01,2013-12-01,2013-12-01,2013-12-01,2013-12-01,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,39428306,20138280,0,19290021,2007-01-01,2007-01-01,2007,2007-01-01,2012-12-31,2012-12-31,2012-12-31,2012-12-31,United Nations Children’s Fund,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,9070177,7770175,0,1300000,2007-01-01,2007-01-01,2007,2007-01-01,2012-12-31,2012-12-31,2012-12-31,2012-12-31,United Nations Children’s Fund,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,5929626,4187057,0,1742567,2007-05-01,2007-05-01,2007,2007-05-01,2012-04-30,2012-04-30,2012-04-30,2012-04-30,United Nations Population Fund,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,48410759,0,0,48401058,2001-04-01,2001-04-01,2001,2001-04-01,2010-10-01,2010-10-01,2010-10-01,2010-10-01,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,336232,0,0,336231,2001-04-01,2001-04-01,2001,2001-04-01,2010-10-01,2010-10-01,2010-10-01,2010-10-01,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,590591,0,0,590582,2001-04-01,2001-04-01,2001,2001-04-01,2010-10-01,2010-10-01,2010-10-01,2010-10-01,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,13027911,0,0,10190450,2005-11-01,2005-11-01,2005,2005-11-01,2016-03-31,2016-03-31,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,60484625,45462649,0,3244886,2005-11-01,2005-11-01,2005,2005-11-01,2016-03-31,2016-03-31,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,565422,0,0,528597,2005-11-01,2005-11-01,2005,2005-11-01,2014-03-31,2014-03-31,2014-03-31,2014-03-31,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,273311,0,0,257665,2005-11-01,2005-11-01,2005,2005-11-01,2016-03-31,2016-03-31,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,343389,0,0,113633,2012-04-23,2012-04-23,2012,2012-04-23,2016-03-31,2016-03-31,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,4231824,2055493,0,0,2012-04-23,2012-04-23,2012,2012-04-23,2016-03-31,2016-03-31,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,956528,0,0,381314,2012-04-23,2012-04-23,2012,2012-04-23,2016-03-31,2016-03-31,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,413075,0,0,46036,2012-04-15,2012-04-15,2012,2012-04-15,2016-03-31,2016-03-31,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,23339582,0,0,23339580,2007-01-01,2007-01-01,2007,2007-01-01,2011-11-20,2011-11-20,2011-11-20,2011-11-20,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,51440171,29440176,0,22000000,2007-01-01,2007-01-01,2007,2007-01-01,2011-11-20,2011-11-20,2011-11-20,2011-11-20,Developing country-based NGO,BD,Bangladesh,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions
GB,GBP,5791,0,0,5791,2007-01-01,2007-01-01,2007,2007-01-01,2011-11-20,2011-11-20,2011-11-20,2011-11-20,Other.,BD,Bangladesh,Post-completion,Bilateral,Project-type interventions
GB,GBP,39116032,22550000,0,10196977,2007-04-01,2007-04-01,2007,2007-04-01,2015-06-30,2015-06-30,,,International Bank for Reconstruction and Development,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
GB,GBP,1183967,0,0,1173635,2007-04-01,2007-04-01,2007,2007-04-01,2015-06-30,2015-06-30,,,Other.,BD,Bangladesh,Implementation,Bilateral,Project-type interventions
