OCID,Buyer,BuyerCountry,Importer,SupplierCountry,Exporter,Value,Currency
56809-2006,CONSEIL G��N��RAL DE L'YONNE,France,FR,,,0,EUR
56810-2006,R��GION NORD-PAS DE CALAIS,France,FR,France,FR,0,EUR
56810-2006,R��GION NORD-PAS DE CALAIS,France,FR,France,FR,0,EUR
56810-2006,R��GION NORD-PAS DE CALAIS,France,FR,France,FR,0,EUR
56810-2006,R��GION NORD-PAS DE CALAIS,France,FR,France,FR,0,EUR
56810-2006,R��GION NORD-PAS DE CALAIS,France,FR,France,FR,0,EUR
56810-2006,R��GION NORD-PAS DE CALAIS,France,FR,France,FR,0,EUR
56811-2006,"MINIST��RE DES TRAVAUX PUBLICS, ADMINISTRATION DES B��TIMENTS PUBLICS",Luxembourg,LU,Luxembourg,LU,0,EUR
56812-2006,"MINIST��RE DES TRAVAUX PUBLICS, ADMINISTRATION DES B��TIMENTS PUBLICS",Luxembourg,LU,Luxembourg,LU,0,EUR
56813-2006,"MINIST��RE DES TRAVAUX PUBLICS, ADMINISTRATION DES B��TIMENTS PUBLICS",Luxembourg,LU,Luxembourg,LU,0,EUR
56830-2006,AZIENDA OSPEDALIERA GRAVINA,Italy,IT,Italy,IT,11598310,EUR
56831-2006,CONSEIL G��N��RAL DE L'AUBE,France,FR,France,FR,78774,EUR
56836-2006,CONSEIL G��N��RAL DE L'AUBE,France,FR,France,FR,346374,EUR
56844-2006,DEPARTEMENT DE LA VENDEE,France,FR,France,FR,1692250,EUR
56848-2006,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,United Kingdom,GB,United Kingdom,GB,5531660,EUR
56849-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,49400,EUR
56849-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,43201,EUR
56849-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,546540,EUR
56849-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,89426,EUR
56849-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,265608,EUR
56849-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,10560,EUR
56849-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,7200,EUR
56849-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,2544,EUR
56849-2006,CENTRE HOSPITALIER DE SAINT-NAZAIRE,France,FR,France,FR,232988,EUR
56855-2006,VILLE D'AUXERRE,France,FR,France,FR,0,EUR
56859-2006,CONSEIL G��N��RAL DU CALVADOS,France,FR,,,2112,EUR
56859-2006,CONSEIL G��N��RAL DU CALVADOS,France,FR,France,FR,10,EUR
56861-2006,CONSEIL G��N��RAL DU CALVADOS,France,FR,France,FR,2280000,EUR
56861-2006,CONSEIL G��N��RAL DU CALVADOS,France,FR,France,FR,728700,EUR
56867-2006,"UNIVERSITAETSKLINIKUM LEIPZIG AOER, BEREICH 2, ABT.MATERIALWIRTSCHAFT",Germany,DE,Germany,DE,0,EUR
56874-2006,VSI KAUNO MEDICINOS UNIVERSITETO KLINIKOS,Lithuania,LT,Lithuania,LT,719,EUR
56875-2006,VSI KAUNO MEDICINOS UNIVERSITETO KLINIKOS,Lithuania,LT,,,700,EUR
56876-2006,VSI KAUNO MEDICINOS UNIVERSITETO KLINIKOS,Lithuania,LT,,,339,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,United States,,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,,,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,,,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,United States,,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
56878-2006,"ASSISTANCE PUBLIQUE - HOPITAUX DE MARSEILLE, DIRECTION DES EQUIPEMENTS ET
APPROVISIONNEMENTS MEDICAUX ET PHARMACEUTIQUES, DIVISION MARCHES",France,FR,France,FR,0,EUR
